benchmark,matches/apex,matches/bpapex,time/apex,time/bpapex,precision/apex,precision/bpapex,recall/apex,recall/bpapex,f1/apex,f1/bpapex
ALEXTASK,110,105,2.89,6.47,0.91,0.98,0.96,1.00,0.93,0.99
ANKTRAIN,66,61,1.45,2.38,0.93,1.00,1.00,0.92,0.96,0.96
CHEFAPAR,120,103,2.35,5.34,0.87,0.98,0.93,0.89,0.90,0.93
CHRL4,28,26,0.23,0.67,0.85,0.97,0.95,0.99,0.89,0.98
DISHOWN,45,35,1.41,1.37,0.61,0.92,0.64,0.74,0.62,0.82
ENTEXAM,85,76,1.35,3.46,0.91,0.98,0.94,0.90,0.92,0.94
KOL16B,41,37,0.84,1.52,0.98,1.00,1.00,0.90,0.99,0.95
NOTINCOM,54,49,1.29,2.53,0.86,0.99,0.91,0.98,0.88,0.99
RGAME,18,17,0.72,0.32,0.93,1.00,0.93,0.93,0.93,0.96
TRISQ,61,57,2.83,5.07,0.84,0.93,0.92,0.87,0.87,0.89
AVERAGE,62.80,56.60,1.54,2.91,0.87,0.97,0.92,0.91,0.89,0.94
